year,player1,player2,player1_id,player1_country,player1_seed,player2_id,player2_country,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league
2020,N. Kyrgios,K. Khachanov,ATPKE17,AUS,23,ATPKE29,RUS,16,Melbourne Arena,3,5,Men's Singles,C,atp_australian_open_2020MS302,australian_open,atp
2020,B. Paire,M. Cilic,ATPPD31,FRA,21,ATPC977,CRO,,Court 3,5,5,Men's Singles,C,atp_australian_open_2020MS227,australian_open,atp
2020,R. Federer,N. Djokovic,ATPF324,SUI,3,ATPD643,SRB,2,Rod Laver Arena,1,3,Men's Singles,C,atp_australian_open_2020MS602,australian_open,atp
2020,J. Millman,R. Federer,ATPMH30,AUS,,ATPF324,SUI,3,Rod Laver Arena,1,5,Men's Singles,C,atp_australian_open_2020MS312,australian_open,atp
2020,P. Cuevas,G. Simon,ATPC882,URU,,ATPSD32,FRA,,Court 3,5,3,Men's Singles,C,atp_australian_open_2020MS106,australian_open,atp
2020,A. Davidovich Fokina,N. Gombos,ATPDH50,ESP,,ATPGB93,SVK,,Court 11,13,5,Men's Singles,C,atp_australian_open_2020MS158,australian_open,atp
2020,S. Querrey,B. Coric,ATPQ927,USA,,ATPCG80,CRO,25,1573 Arena,4,3,Men's Singles,C,atp_australian_open_2020MS136,australian_open,atp
2020,P. Andujar,M. Mmoh,ATPA596,ESP,,ATPMP01,USA,,Court 10,12,3,Men's Singles,C,atp_australian_open_2020MS155,australian_open,atp
2020,M. Berrettini,T. Sandgren,ATPBK40,ITA,8,ATPSL08,USA,,1573 Arena,4,5,Men's Singles,C,atp_australian_open_2020MS217,australian_open,atp
2020,H. Hurkacz,D. Novak,ATPHB71,POL,31,ATPDB59,AUT,,Court 14,16,4,Men's Singles,I,atp_australian_open_2020MS145,australian_open,atp
2020,P. Herbert,C. Norrie,ATPH996,FRA,,ATPN771,GBR,,Court 15,17,5,Men's Singles,C,atp_australian_open_2020MS126,australian_open,atp
2020,S. Johnson,R. Federer,ATPJ386,USA,,ATPF324,SUI,3,Rod Laver Arena,1,3,Men's Singles,C,atp_australian_open_2020MS148,australian_open,atp
