point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_3_10_1,2,3,10,1,WTA311470,WTA317708,WTA311470,AdCourt,149 KPH,Pronated,NA,11.496,-1.461,2.696,3,Unforced Error,NA,False,Ground,BackHand,2.04 Metre,NA,Wide Error,True,True,True,-5.026,3.36,0.033,Wide,,,,-12.984,-1.731,0.877,8.665,4.323,0.034,-11.979,5.65,1.225,-0.0,1.406,1.665,11.087,-2.412,0.035,1929.12,0,0,0,0,0,0,4,5
2_3_11_1,2,3,11,1,WTA311470,WTA317708,WTA311470,DeuceCourt,144 KPH,Pronated,NA,11.438,1.148,2.687,5,Unforced Error,NA,False,Ground,ForeHand,2.15 Metre,NA,Long Error,False,False,True,-5.756,-3.497,0.032,Wide,,,,-13.039,4.795,1.029,11.984,1.74,0.034,-12.085,-5.0,1.054,-0.0,-1.872,1.134,7.759,0.129,0.03,2473.74,0,0,0,0,0,0,5,5
NA,2,3,12,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,6,5
2_3_12_2,2,3,12,2,WTA311470,WTA317708,WTA317708,AdCourt,124 KPH,NA,NA,11.404,-1.967,2.712,0,DoubleFault,NA,False,NA,BackHand,1.73 Metre,NA,NA,False,False,True,-7.874,2.846,0.034,Wide,,,,11.404,-1.967,2.712,-7.874,2.846,0.034,,,,,,,,,,NA,1,1,0,0,0,0,6,5
NA,2,3,13,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,1,0,6,6
2_3_13_2,2,3,13,2,WTA311470,WTA317708,WTA317708,DeuceCourt,118 KPH,Pronated,NA,11.532,0.511,2.732,2,Forced Error,NA,True,Ground,ForeHand,0.49 Metre,NA,NA,False,False,True,-5.222,-1.461,0.03,Body,,,,5.409,-0.901,0.799,0.444,-1.057,0.031,-11.857,-1.977,1.2,-0.0,-1.483,1.482,11.602,-0.715,0.032,1465.38,0,0,0,0,0,0,6,6
2_3_14_1,2,3,14,1,WTA311470,WTA317708,WTA311470,AdCourt,146 KPH,Pronated,NA,11.357,-1.747,2.623,13,Unforced Error,NA,True,Ground,BackHand,0.74 Metre,NA,Net Error,True,True,True,-5.552,2.77,0.033,Wide,,,,-5.339,-2.603,0.993,-0.668,-0.473,0.03,-11.862,4.83,1.131,0.0,1.853,1.688,8.769,-0.191,0.029,1548.18,0,0,0,0,0,0,6,7
NA,2,3,15,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,7,7
2_3_15_2,2,3,15,2,WTA311470,WTA317708,WTA317708,DeuceCourt,125 KPH,Pronated,NA,11.697,0.912,2.752,6,Winner,NA,False,Ground,ForeHand,1.34 Metre,Down the Line,NA,False,False,True,-4.471,-0.97,0.029,T,,,,-12.74,-0.507,1.045,8.754,-3.041,0.033,-11.772,-1.494,1.258,-0.0,-0.902,1.097,7.375,-0.509,0.029,2496.78,0,0,0,0,0,0,7,7
2_3_16_1,2,3,16,1,WTA311470,WTA317708,WTA317708,AdCourt,134 KPH,Pronated,NA,11.533,-1.617,2.766,2,Unforced Error,NA,False,Ground,ForeHand,1.67 Metre,NA,Wide Error,True,True,True,-5.117,0.104,0.031,T,,,,13.163,-0.112,1.071,-10.187,-4.259,0.035,-12.501,1.222,1.166,0.0,0.39,2.596,10.302,-0.074,0.032,1772.34,0,0,0,0,0,0,7,8
